stop_id,stop_name,stop_lon,stop_lat
StopPoint:OCETrain-71152116,gare de Oviedo (RENFE),-5.8272326,43.3882342
StopArea:OCE71103002,gare de Palazuelo, -5.533802,42.707133
StopPoint:OCETrain-71103002,gare de Palazuelo, -5.533802,42.707133
StopArea:OCE71141000,gare de Palencia,1.9955472,41.4207822
StopPoint:OCETrain-71141000,gare de Palencia,1.9955472,41.4207822
StopArea:OCE71801001,gare de Pamplona / IruÃ±a,-3.6961919,40.4698795
StopPoint:OCETrain-71801001,gare de Pamplona / IruÃ±a,-3.6961919,40.4698795
StopArea:OCE71111112,gare de Pancorbo,-4.4710721,36.7172089
StopPoint:OCETrain-71111112,gare de Pancorbo,-4.4710721,36.7172089
StopArea:OCE71115154,gare de PASAJES,0,0
StopPoint:OCETrain-71115154,gare de PASAJES,0,0
StopArea:OCE71151225,gare de Pola-de-lena, -5.831136,43.159062
StopPoint:OCETrain-71151225,gare de Pola-de-lena, -5.831136,43.159062
StopArea:OCE94346452,gare de Pombal, -8.630436,39.918574
StopPoint:OCETrain-94346452,gare de Pombal, -8.630436,39.918574
StopArea:OCE71202002,gare de Ponferrada, -6.602363,42.545329
StopPoint:OCETrain-71202002,gare de Ponferrada, -6.602363,42.545329
StopArea:OCE71222018,gare de Porrino, -8.622078,42.164141
StopPoint:OCETrain-71222018,gare de Porrino, -8.622078,42.164141
StopArea:OCE71223008,gare de Redondela de Galicia,-4.7591249,36.9070296
StopPoint:OCETrain-71223008,gare de Redondela de Galicia,-4.7591249,36.9070296
StopArea:OCE71102053,gare de Robledo de Chavela,-4.0670806,40.7070748
StopPoint:OCETrain-71102053,gare de Robledo de Chavela,-4.0670806,40.7070748
StopArea:OCE71150094,gare de Sahagun, -5.022529,42.369264
StopPoint:OCETrain-71150094,gare de Sahagun, -5.022529,42.369264
StopArea:OCE71301002,gare de Salamanca,-5.6855738,43.3102968
StopPoint:OCETrain-71301002,gare de Salamanca,-5.6855738,43.3102968
StopArea:OCE71112128,gare de Salvatierra-de-alava, -2.389273,42.846398
StopPoint:OCETrain-71112128,gare de Salvatierra-de-alava, -2.389273,42.846398
StopArea:OCE71202168,gare de San Clodio-Quiroga,2.4017511,41.5067436
StopPoint:OCETrain-71202168,gare de San Clodio-Quiroga,2.4017511,41.5067436
StopArea:OCE94463679,gare de Santa Comba-Dao, -8.124585,40.390146
StopPoint:OCETrain-94463679,gare de Santa-Comba-Dao, -8.124585,40.390146
StopArea:OCE71102061,gare de Santa MarÃ­a de la Alameda,-3.6633118,40.4308415
StopPoint:OCETrain-71102061,gare de Santa MarÃ­a de la Alameda,-3.6633118,40.4308415
StopArea:OCE71314000,gare de Santiago de Compostela,-0.2263709,39.0790031
