route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color,weelchair
100100107:107,442,107,Ecole Vétérinaire de Maisons-Alfort - St-Maur-Créteil - St-Maur La Pie,,3,,f59eb3,000000,non
100100108:108,442,108,Joinville-le-Pont - Champigny Jeanne Vacher,,3,,f59eb3,000000,non
100100109:109,442,109,Terroirs de France - Charenton Pont Nelson Mandela,,3,,cec92a,000000,oui
100100110:110,442,110,Joinville-le-Pont - Villiers-sur-Marne-Le-Plessis-Trévise,,3,,652c90,ffffff,oui
100100111:111,442,111,Terroirs de France - St-Maur Corneilles - La Varenne-Chennevières - Champigny,,3,,c9a2cd,000000,oui
100100112:112,442,112,Château de Vincennes - La Varenne-Chennevières,,3,,f68f4b,000000,non
100100113:113,442,113,Nogent-sur-Marne - Mairie de Chelles - Chelles 2 Centre Commercial,,3,,ed1b2a,ffffff,non
100100114:114,442,114,Château de Vincennes - Le Raincy-Villemomble-Montfermeil - Villemomble Les Coquetiers,,3,,77c695,ffffff,non
100100115:115,442,115,Porte des Lilas - Mairie de Montreuil - Château de Vincennes,,3,,008b5a,ffffff,oui
100100116:116,442,116,Rosny-Bois Perrier - Eglise de Rosny-sous-Bois - Champigny,,3,,87d3df,000000,oui
100100117:117,442,117,Créteil Préfecture du Val-de-Marne - Champigny,,3,,008b5a,ffffff,oui
100100118:118,442,118,Château de Vincennes - Eglise de Rosny-sous-Bois,,3,,e0b03b,000000,oui
100100119:119,442,119,Massy-Palaiseau - Les Baconnets,,3,,ffcd01,000000,non
100100120:120,442,120,Nogent-sur-Marne - Bry-sur-Marne Hôpital St-Camille - Noisy-le-Grand Mont d'Est - Mairie de Noisy-le-Grand,,3,,c9a2cd,000000,non
100100121:121,442,121,Mairie de Montreuil - Château de Villemomble - Villemomble Lycée Clémenceau,,3,,ed1b2a,ffffff,oui
100100122:122,442,122,Galliéni - Val de Fontenay,,3,,c9a2cd,000000,oui
100100123:123,442,123,Porte d'Auteuil - Mairie d'Issy,,3,,008b5a,ffffff,non
100100124:124,442,124,Château de Vincennes - Val de Fontenay,,3,,f59fb3,000000,oui
100100125:125,442,125,Porte d'Orléans - Ecole Vétérinaire de Maisons-Alfort,,3,,006cb8,ffffff,oui
100100126:126,442,126,Porte d'Orléans - Parc de St-Cloud,,3,,87d3df,000000,non
100100127:127,442,127,Croix de Chavaux - Neuilly-sur-Marne Île-de-France,,3,,f68f4b,000000,oui
100100128:128,442,128,Porte d'Orléans - Bagneux Dampierre - Robinson,,3,,8d653a,ffffff,non
100100129:129,442,129,Porte des Lilas - Mairie de Montreuil,,3,,9b993b,ffffff,oui
100100131:131,442,131,Porte d'Italie - L'Haÿ-les-Roses Les Dahlias - Rungis-La Fraternelle,,3,,8d653a,ffffff,non
