route_short_name,route_color,route_text_color,weelchair,comment,agency_id
318,006cb8,ffffff,oui,,100
319,008b5a,ffffff,non,,100
32,9c983a,000000,oui,,100
320,ffcd02,000000,oui,,100
321,ffcd02,000000,non,,100
322,87d3df,000000,oui,,100
323,cec92b,000000,oui,,100
325,87d3df,000000,non,,100
330,ffcd02,000000,oui,,100
333,006CB8,ffffff,non,,100
334,ffcd02,000000,non,,100
337,652c90,ffffff,non,,100
340,e0b03b,000000,oui,,100
341,ffcd02,000000,oui,,100
346,cec92b,000000,non,,100
347,bb4b9c,ffffff,non,,100
349,77c695,000000,non,,100
35,77c695,000000,oui,,100
350,652c90,ffffff,non,,100
351,e0b03b,000000,non,,100
354,c9a2cd,000000,non,,100
355,652c90,ffffff,non,,100
356,f68f4b,000000,NC,,100
360,cec92b,000000,oui,,100
361,006cb8,ffffff,non,,100
361N,006cb8,ffffff,non,,100
366,006cb8,ffffff,non,,100
367,ffcd02,000000,oui,,100
368,cec92a,000000,NC,,100
370,87d3df,000000,non,,100
372,ffcd02,ffffff,non,,100
378,008b5a,ffffff,oui,,100
379,ffcd01,000000,non,,100
38,006cb8,ffffff,oui,,100
380,77c695,000000,non,,100
385,dfb03a,000000,non,,100
388,ffcd01,000000,oui,,100
389,006cb8,ffffff,non,,100
39,bb4b9c,ffffff,oui,,100
390,87d3df,000000,non,,100
391,cec92b,000000,non,,100
394,652c90,ffffff,oui,,100
395,006cb8,ffffff,non,,100
396,cec92a,000000,non,,100
399,87d3df,000000,oui,,100
42,006cb8,ffffff,oui,,100
421,008b5a,ffffff,non,,100
426,8d653a,ffffff,non,,100
43,ed1b2a,ffffff,oui,,100
459,ed1b2a,ffffff,non,,100
46,cec92a,000000,oui,,100
467,9b983a,ffffff,oui,,100
47,f59eb3,000000,oui,,100
471,006cb8,ffffff,non,,100
48,006cb8,ffffff,oui,,100
485,f68f4b,000000,non,,100
485s,008b5a,ffffff,NC,,100
486,008b5a,ffffff,non,,100
487,ffcd02,000000,non,,100
488,006cb8,ffffff,non,,100
492,ffcd02,000000,non,,100
501,006CB8,ffffff,oui,Traverse Charonne,100
512,ffcd02,000000,non,,100
513,BB499C,ffffff,oui,Traverse Bièvre,100
515,C9A2CD,000000,non,TillBus,100
518,652C90,ffffff,oui,Traverse Batignolles-Bichat,100
519,C9A2CD,000000,oui,Traverse Ney-Flandre,100
52,87d3df,000000,oui,,100
520,008b5a,ffffff,non,,100
524,652c90,ffffff,non,,100
526,006cb8,ffffff,non,Montbus,100
53,cec92a,000000,oui,,100
