stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,streetview_checked,
STOPPOINT:13598,,LISTRAC MC - Sémeillan,,45.0634859,-0.8030725,,,0,STOPAREA:13598,,
STOPPOINT:13606,,BONZAC - Bernardon,,45.012636,-0.225553,,,0,STOPAREA:13606,,
STOPPOINT:15922,,ST SULPICE DE F. - Ecole Primaire,,44.861424,-0.1893006,,,0,STOPAREA:15922,,
STOPPOINT:16716,,STE COLOMBE - Eglise,,44.8782406,-0.0690849,,,0,STOPAREA:16716,,
STOPPOINT:17326,,CEZAC - Sabourin La Lande,,45.085056,-0.451651,,,0,STOPAREA:17326,,
STOPPOINT:17788,,JAU DIGNAC L. - Jau,,45.417949,-0.974591,,,0,STOPAREA:17788,,
STOPPOINT:17898,,AVENSAN - Romefort,,45.025571,-0.7797822,,,0,STOPAREA:17898,,
STOPPOINT:18008,,BIGANOS - Rd Pt du Chat Doré,,44.6460028,-0.9623996,,,0,STOPAREA:18008,,
STOPPOINT:18416,,BRAUD ST LOUIS - Azac 1,,45.2404638,-0.5849167,,,0,STOPAREA:18416,,
STOPPOINT:19449,,BIGANOS - Rte de Bordeaux n°18,,44.663549,-0.9122699,,,0,STOPAREA:19449,,
STOPPOINT:19693,,BIGANOS - Chem. de Jouglas,,44.6657134,-0.99995,,,0,STOPAREA:19693,,
STOPPOINT:19828,,CUBZAC - Bel Air,,44.971189,-0.445689,,,0,STOPAREA:19828,,
STOPPOINT:20275,,LE PIAN MC - Le Bernet,,44.954802,-0.703733,,,0,STOPAREA:20275,,
STOPPOINT:20583,,CUBNEZAIS - La Bellue,,45.085788,-0.429336,,,0,STOPAREA:20583,,
STOPPOINT:21102,,ST PALAIS - La Garenne,,45.3137794,-0.595714,,,0,STOPAREA:21102,,
STOPPOINT:21104,,LACANAU DE M. - Testarouch 47,,44.6590868,-0.8413243,,,0,STOPAREA:21104,,
STOPPOINT:21184,,ST MEDARD - Gare Routière,,44.8967671,-0.7219382,,,0,STOPAREA:21184,,
STOPPOINT:21267,,ST LAURENT MC - I.M.E.,,45.123143,-0.838853,,,0,STOPAREA:21267,,
STOPPOINT:21505,,LACANAU DE M. - Garenne des Délis,,44.6579078,-0.8447999,,,0,STOPAREA:21505,,
STOPPOINT:21649,,LANTON - Rond Point Fontaines,,44.7241186,-1.0682851,,,0,STOPAREA:21649,,
STOPPOINT:21676,,SALLES - A63 Echangeur 21,,44.534314,-0.836837,,,0,STOPAREA:21676,,
STOPPOINT:21706,,MIOS - Parc de Masquet,,44.623832,-0.953254,,,0,STOPAREA:21706,,
STOPPOINT:21714,,CIVRAC MC - Rt Moulin Bourdieu 17,,45.355686,-0.912819,,,0,STOPAREA:21714,,
