stop_id,stop_name,stop_desc,zone_id
"StopArea:DUA8738676","Épône - Mézières-sur-Seine","Place de la Gare 78680 Epône","5"
"StopArea:DUA8738700","Évreux Normandie","","100"
"StopArea:DUA8739153","Vanves - Malakoff","Place Albert Culot 92170 Vanves","2"
"StopArea:DUA8739303","Invalides","2, Rue Esnault Pelterie 75007   Paris","1"
"StopArea:DUA8739304","Pont de l'Alma","Place de la Résistance 75007   Paris","1"
"StopArea:DUA8739305","Champ de Mars Tour Eiffel","Quai Branly ( pont Bir Hakeim ) 75015   Paris","1"
"StopArea:DUA8739311","Bellevue","","3"
"StopArea:DUA8739316","Porchefontaine","Avenue de Porchefontaine 78000   Versailles","4"
"StopArea:DUA8739317","Chaville - Vélizy-Villacoublay","1, Place de Verdun 78140   Viroflay","3"
"StopArea:DUA8739322","Saint-Cyr","Place Pierre Sémard 78120 Saint-Cyr l'Ecole","5"
"StopArea:DUA8739331","Rambouillet","1 Place Fernand Prudhomme 78120 Rambouillet","5"
"StopArea:DUA8739351","Jouy-en-Josas","Avenue Jean Jaurès 78350   Jouy-en-Josas","4"
"StopArea:DUA8739361","Longjumeau","Place de la Gare 91160   Longjumeau","4"
"StopArea:DUA8739388","Villiers-Saint-Fréderic - Neauphle-le-Château - Jouars-Pontchartrain","Place de la Gare 78640 Villiers Saint Frédérique","5"
"StopArea:DUA8739400","Chartres","","100"
"StopArea:DUA8754318","Boulainvilliers","52, Rue des Vignes 75016   Paris","1"
"StopArea:DUA8754515","Chamarande","Place de la Gare 91730   Chamarande","5"
"StopArea:DUA8754527","Villeneuve-le-Roi","Place de la Gare 94290   Villeneuve-le-Roi","4"
"StopArea:DUA8754528","Choisy-le-Roi","Avenue du 8 mai 45 94600   Choisy-le-Roi","3"
"StopArea:DUA8754547","Égly","Impasse de la Masure 91520   Egly","5"
"StopArea:DUA8754573","Bonneval","","100"
"StopArea:DUA8754620","Orly Ville","1, Place du 8 mai 45 94310   Orly","4"
"StopArea:DUA8754629","Rungis la Fraternelle","Rue des Alpes 94150   Rungis","4"
"StopArea:DUA8754730","Musée d'Orsay","7, Quai Anatole France 75007   Paris","1"
"StopArea:DUA8768135","Grand Bourg","Passage à niveau n°1O  Grand bourg 91000 Evry","5"
"StopArea:DUA8768141","Mennecy","Place du 8 mai 1945 91540 Mennecy","5"
"StopArea:DUA8768210","Montgeron - Crosne","Place Joseph Piette","4"
"StopArea:DUA8768211","Yerres","Place de la Gare 91330 Yerres","4"
"StopArea:DUA8768214","Combs-la-Ville - Quincy-sous-Sénart","Avenue de la Gare, 77380 Combs La Ville","5"
"StopArea:DUA8768217","Le Mée-sur-Seine","Allée de la Gare 77350 Le Mée","5"
"StopArea:DUA8768230","Montereau","Place Pierre Sémard 77130 Montereau-Fault-Yonne","5"
"StopArea:DUA8768241","Chartrettes","Avenue Galliéni 77770 Chartrettes","5"
"StopArea:DUA8768244","Vulaines-sur-Seine - Samoreau","Avenue de la Gare , 77870 Vulaines-sur-Seine","5"
"StopArea:DUA8768247","La Grande-Paroisse","Cité de la Gare 77130 La grande Paroisse","5"
"StopArea:DUA8768254","Saint-Fargeau","Avenue de la Gare 77310 Saint Fargeau Ponthierry","5"
"StopArea:DUA8768400","Montargis","","100"
"StopArea:DUA8768411","Bourron-Marlotte - Grez-sur-Loing","Avenue Blaise de Montesquiou 77780 Bourron-Marlotte","5"
"StopArea:DUA8768412","Saint-Pierre-lès-Nemours","1 Bis Avenue Carnot 77140 Saint-Pierre-les-Nemours","5"
"StopArea:DUA8768419","Bagneaux-sur-Loing","Place de la gare 77167 Bagneaux-sur-Loing","5"
"StopArea:DUA8768421","Souppes-sur-Loing - Château-Landon","Rue Paul Rollin 77460 Souppes-sur-Loing","5"
"StopArea:DUA8768423","Dordives","","100"
"StopArea:DUA8768666","Paris Bercy","","1"
"StopArea:DUA8775800","Charles-de-Gaulle Étoile","","1"
"StopArea:DUA8775801","La Grande Arche de la Défense","","3"
"StopArea:DUA8775836","Lognes","","5"
"StopArea:DUA8775859","Auber","","1"
"StopArea:DUA8775872","Robinson","","3"
"StopArea:DUA8775874","La Croix de Berny","","3"
"StopArea:DUA8775882","Lozère","","4"
"StopArea:DUA8775885","Bures-sur-Yvette","","5"
"StopArea:DUA8711127","Porte de Clichy","190 ter, Avenue de Clichy 75017   Paris","1"
"StopArea:DUA8711340","Bondy","1 place de la République 93140 BONDY","3"
"StopArea:DUA8711369","Rosny-sous-Bois Perrier","Rue Léon Blum 93110 Rosny sous bois","3"
"StopArea:DUA8711374","Nogent - Le Perreux","place du Théâtre 94130 NOGENT-SUR-MARNE","3"
"StopArea:DUA8711379","Villiers-sur-Marne - Le Plessis-Trévise","place Pierre Sémard 94350 VILLIERS-SUR-MARNE","4"
"StopArea:DUA8711385","Les Pavillons-sous-Bois","Boulevard Louis Pasteur 93320 Les Pavillons sous Bois","4"
"StopArea:DUA8711601","Gretz-Armainvilliers","Avenue de la Liberté 77220 Gretz-Armainvilliers","5"
"StopArea:DUA8711607","Verneuil-l'Étang","","5"
"StopArea:DUA8711616","Provins","Avenue Jean Jaures 77160 Provins","5"
"StopArea:DUA8711617","Sainte-Colombe Septveilles","Rue Victor Hugo 77650 Sainte-Colombe","5"
"StopArea:DUA8711632","Esbly","","5"
"StopArea:DUA8711634","Chailly - Boissy-le-Châtel","","5"
"StopArea:DUA8711637","Saint-Rémy-la-Vanne","","5"
"StopArea:DUA8711657","Chézy-sur-Marne","","100"
"StopArea:DUA8727102","Gare du Nord","","1"
"StopArea:DUA8727142","Sevran - Livry-Gargan","1, Place de la gare, 93270 Sevran","4"
